usuario,ID DE VIDEO EQUIPO,ID DE VIDEO,LINK,MAPA,GENERO,ETNIA,DURACION,CAMARA,ESPECIE,
MATEO,1,1,VIDEO_1,Base militar,Hombre,Blanco,7,Libre,Humano,
MATEO,2,2,VIDEO_2,Castillo,Hombre,Moreno,4,Realizadora,Humano,
MATEO,3,3,VIDEO_3,Castillo,Hombre,Moreno,6,Realizadora,Humano,
MATEO,4,4,VIDEO_4,Castillo,Hombre,Moreno,7,Realizadora,Humano,
MATEO,5,5,VIDEO_5,Castillo,Hombre,Moreno,10,Realizadora,Humano,
MATEO,6,6,VIDEO_6,Pradera,NaN,NaN,8,Libre,Animal,
MATEO,7,7,VIDEO_7,Pradera,NaN,NaN,4,Libre,Animal,
MATEO,8,8,VIDEO_8,Pradera,NaN,NaN,3,Libre,Animal,
MATEO,9,9,VIDEO_9,Pradera,NaN,NaN,8,Libre,Animal,
MATEO,10,10,VIDEO_10,Pradera,NaN,NaN,3,Libre,Animal,
MATEO,11,11,VIDEO_11,Almacén,Hombre,Moreno,3,Realizadora,Humano,
MATEO,12,12,VIDEO_12,Almacén,Hombre,Moreno,3,Realizadora,Humano,
MATEO,13,13,VIDEO_13,Almacén,Hombre,Moreno,4,Realizadora,Humano,
MATEO,14,14,VIDEO_14,Almacén,Hombre,Moreno,10,Realizadora,Humano,
MATEO,15,15,VIDEO_15,Desierto,NaN,NaN,3,Realizadora,Animal,
MATEO,16,16,VIDEO_16,Desierto,NaN,NaN,3,Realizadora,Animal,
MATEO,17,17,VIDEO_17,Desierto,NaN,NaN,9,Realizadora,Animal,
MATEO,18,18,VIDEO_18,Desierto,NaN,NaN,3,Realizadora,Animal,
MATEO,19,19,VIDEO_19,Iglesia,Mujer,Moreno,4,Realizadora,Humano,
MATEO,20,20,VIDEO_20,Iglesia,Mujer,Moreno,5,Realizadora,Humano,
MATEO,21,21,VIDEO_21,Bar,Hombre,Blanco,3,Realizadora,Humano,
MATEO,22,22,VIDEO_22,Bar,Hombre,Blanco,4,Realizadora,Humano,
MATEO,23,23,VIDEO_23,Palacio,NaN,NaN,3,Realizadora,Nan,
MATEO,24,24,VIDEO_24,Palacio,NaN,NaN,4,Realizadora,Nan,
MATEO,25,25,VIDEO_25,Palacio,NaN,NaN,5,Realizadora,Nan,
MATEO,26,26,VIDEO_26,Laboratorio,Hombre,Blanco,4,Realizadora,Humano,
MATEO,27,27,VIDEO_27,Laboratorio,Hombre,Blanco,3,Realizadora,Humano,
MATEO,28,28,VIDEO_28,Laboratorio,Hombre,Blanco,3,Realizadora,Humano,
MATEO,29,29,VIDEO_29,Barco,Hombre,Blanco,3,Realizadora,Humano,
MATEO,30,30,VIDEO_30,Barco,Hombre,Blanco,3,Realizadora,Humano,
MATEO,31,31,VIDEO_31,Barco,Hombre,Blanco,6,Realizadora,Humano,
MATEO,32,32,VIDEO_32,Barco,Hombre,Blanco,3,Realizadora,Humano,
MATEO,33,33,VIDEO_33,Favela,Mujer,Moreno,5,Realizadora,Humano,
MATEO,34,34,VIDEO_34,Favela,Mujer,Moreno,5,Realizadora,Humano,
MATEO,35,35,VIDEO_35,Oficina,Hombre,Moreno,3,Realizadora,Humano,
MATEO,36,36,VIDEO_36,Oficina,Hombre,Moreno,6,Realizadora,Humano,
MATEO,37,37,VIDEO_37,Oficina,Hombre,Moreno,3,Realizadora,Humano,
MATEO,38,38,VIDEO_38,Estación Tren,Hombre,Blanco,10,Realizadora,Humano,
MATEO,39,39,VIDEO_39,Estación Tren,Hombre,Blanco,9,Realizadora,Humano,
MATEO,40,40,VIDEO_40,Basurero,NaN,NaN,4,Realizadora,Nan,
MATEO,41,41,VIDEO_41,Basurero,NaN,NaN,3,Realizadora,Nan,
MATEO,42,42,VIDEO_42,Basurero,NaN,NaN,5,Realizadora,Nan,
MATEO,43,43,VIDEO_43,Basurero,Hombre,Blanco,5,Realizadora,Humano,
MATEO,44,44,VIDEO_44,Jungla,NaN,NaN,7,Realizadora,Nan,
MATEO,45,45,VIDEO_45,Jungla,NaN,NaN,5,Realizadora,Animal,
MATEO,46,46,VIDEO_46,Base militar,Hombre,Blanco,5,Realizadora,Humano,
MATEO,47,47,VIDEO_47,Base militar,Hombre,Blanco,4,Realizadora,Humano,
MATEO,48,48,VIDEO_48,Base militar,Hombre,Blanco,4,Realizadora,Humano,
MATEO,49,49,VIDEO_49,Jungla,Hombre,Moreno,10,Realizadora,Humano,
MATEO,50,50,VIDEO_50,Jungla,NaN,NaN,10,Realizadora,Animal,
MATEO,51,51,VIDEO_51,Teatro,NaN,NaN,4,Realizadora,Nan,
MATEO,52,52,VIDEO_52,Bosque,NaN,NaN,10,Realizadora,Animal,
MATEO,53,53,VIDEO_53,Bosque,NaN,NaN,6,Fija,Animal,
MATEO,54,54,VIDEO_54,Pradera,Hombre,Blanco,9,Libre,Humano,
MATEO,55,55,VIDEO_55,Desierto,Hombre,Blanco,10,Libre,Humano,
MATEO,56,56,VIDEO_56,Oficina,Hombre,Blanco,9,Libre,Humano,
MATEO,57,57,VIDEO_57,Barco,NaN,NaN,8,Fija,Animal,
MATEO,58,58,VIDEO_58,Pradera,NaN,NaN,5,Realizadora,Animal,
MATEO,59,59,VIDEO_59,Ciudad,NaN,NaN,7,Realizadora,Animal,
MATEO,60,60,VIDEO_60,Oficina,Mujer,Moreno,4,Realizadora,Humano,
MATEO,61,61,VIDEO_61,Oficina,Mujer,Moreno,5,Realizadora,Humano,
MATEO,62,62,VIDEO_62,Oficina,Mujer,Moreno,6,Realizadora,Humano,
MATEO,63,63,VIDEO_63,Oficina,Mujer,Moreno,8,Realizadora,Humano,
MATEO,64,64,VIDEO_64,Oficina,Mujer,Moreno,6,Realizadora,Humano,
MATEO,65,65,VIDEO_65,Favela,Hombre,Blanco,5,Realizadora,Humano,
MATEO,66,66,VIDEO_66,Favela,Hombre,Blanco,8,Libre,Humano,
MATEO,67,67,VIDEO_67,Acuario,Mujer,Blanco,7,Libre,Humano,
MATEO,68,68,VIDEO_68,Acuario,Hombre,Blanco,10,Libre,Humano,
MATEO,69,69,VIDEO_69,Bosque,NaN,NaN,10,Realizadora,Animal,
MATEO,70,70,VIDEO_70,Cañon,NaN,NaN,8,Libre,Animal,
MATEO,71,71,VIDEO_71,Hospital,Mujer,Blanco,4,Libre,Humano,
MATEO,72,72,VIDEO_72,Bosque,NaN,NaN,10,Libre,Animal,
MATEO,73,73,VIDEO_73,Bosque,NaN,NaN,10,Libre,Animal,
MATEO,74,74,VIDEO_74,Estación Tren,Hombre,Blanco,6,Libre,Humano,
MATEO,75,75,VIDEO_75,Estación Tren,Hombre,Blanco,6,Libre,Humano,rec
MATEO,76,76,VIDEO_76,Estación Tren,Hombre,Blanco,7,Libre,Humano,rec
MATEO,77,77,VIDEO_77,Estación Tren,Hombre,Blanco,4,Libre,Humano,
MATEO,78,78,VIDEO_78,Cabaña,Mujer,Blanco,6,Libre,Humano,
MATEO,79,79,VIDEO_79,Mansión Antigua,Hombre,Blanco,5,Realizadora,Humano,
MATEO,80,80,VIDEO_80,Mansión Antigua,Hombre,Blanco,5,Realizadora,Humano,
MATEO,81,81,VIDEO_81,Jungla,NaN,Blanco,10,Libre,Animal,
MATEO,82,82,VIDEO_82,Jungla,NaN,Blanco,9,Libre,Animal,
MATEO,83,83,VIDEO_83,Cabaña,Mujer,Blanco,4,Realizadora,Humano,
MATEO,84,84,VIDEO_84,Sabana,Mujer,Blanco,8,Realizadora,Humano,
MATEO,85,85,VIDEO_85,Cabaña,Mujer,Blanco,9,Realizadora,Humano,
MATEO,86,86,VIDEO_86,Cabaña,Mujer,Blanco,6,Realizadora,Humano,
MATEO,87,87,VIDEO_87,Cabaña,Mujer,Blanco,10,Realizadora,Humano,rec
MATEO,88,88,VIDEO_88,Cabaña,Mujer,Blanco,6,Realizadora,Humano,
